JointType,posX,posY,posZ,orientationW,orientationX,orientationY,orientationZ,elapsedInMillis
SpineBase,0.1606171,0.02040356,3.101221,-0.005582406,-0.02491813,0.9966477,-0.07772535,13036.1656
SpineMid,0.1449473,0.3263369,3.053269,-0.008871494,-0.02466149,0.9966238,-0.07780717,13036.1656
Neck,0.1291219,0.6244608,2.993334,-0.01133161,-0.02545209,0.9929813,-0.1149438,13036.1656
Head,0.1287323,0.7609373,2.93422,0,0,0,0,13036.1656
ShoulderLeft,-0.04336119,0.5256188,3.030806,0.1026705,0.7548692,-0.6469761,0.03245361,13036.1656
ElbowLeft,-0.1875496,0.3078741,3.066563,0.2281751,-0.4095987,0.1868293,0.8632843,13036.1656
WristLeft,-0.2839892,0.4259838,2.864501,0.5431666,-0.123662,-0.6620116,0.5014162,13036.1656
HandLeft,-0.3094292,0.4729905,2.824067,-0.5929441,0.05263651,0.7064763,-0.3828027,13036.1656
ShoulderRight,0.3070453,0.5363691,3.021679,0.08735442,0.7346355,0.671093,-0.04810236,13036.1656
ElbowRight,0.4223916,0.3346222,3.134459,-0.1711183,0.2363403,0.2832161,0.9135921,13036.1656
WristRight,0.6113034,0.4405739,2.960434,-0.4343533,0.545696,0.7085219,-0.1074696,13036.1656
HandRight,0.6673805,0.4950823,2.929954,-0.4249092,0.418648,0.802599,-0.004587655,13036.1656
HipLeft,0.07924757,0.01616804,3.066774,-0.09549147,0.6992074,-0.6833313,0.187213,13036.1656
KneeLeft,0.06518661,-0.3806196,3.116133,-0.03106803,-0.7032712,0.05626364,0.7080105,13036.1656
AnkleLeft,0.104455,-0.761921,3.147252,-0.06526643,-0.6034964,0.001346805,0.7946891,13036.1656
FootLeft,0.08779462,-0.8360075,3.067493,0,0,0,0,13036.1656
HipRight,0.2383156,0.02417554,3.064348,-0.100944,0.6599638,0.715345,-0.2062515,13036.1656
KneeRight,0.3057541,-0.3978471,3.046692,-0.0702852,0.7095904,0.04177253,0.6998546,13036.1656
AnkleRight,0.3380972,-0.7744678,3.059334,-0.02083358,0.664436,0.04096228,0.7459309,13036.1656
FootRight,0.3532225,-0.8355057,2.975361,0,0,0,0,13036.1656
SpineShoulder,0.1331345,0.5510607,3.010524,-0.011805,-0.02479472,0.9951885,-0.09405213,13036.1656
HandTipLeft,-0.3427145,0.522153,2.766334,0,0,0,0,13036.1656
ThumbLeft,-0.3400715,0.4599753,2.811323,0,0,0,0,13036.1656
HandTipRight,0.7274727,0.5394425,2.919202,0,0,0,0,13036.1656
ThumbRight,0.6278281,0.5142231,2.873278,0,0,0,0,13036.1656
SpineBase,0.1661637,0.02063718,3.097604,-0.009287018,-0.02425322,0.9967061,-0.07682791,13069.1724
SpineMid,0.1507046,0.3271928,3.050177,-0.01084672,-0.02413296,0.9966903,-0.07686577,13069.1724
Neck,0.1350697,0.6259594,2.990777,-0.01158645,-0.02508561,0.9931151,-0.1138371,13069.1724
Head,0.1374003,0.7623667,2.930913,0,0,0,0,13069.1724
ShoulderLeft,-0.03818683,0.5261066,3.027828,0.1010416,0.7562195,-0.6456548,0.03244511,13069.1724
