SpineBase,0.07422563,0.00826944,2.625727,5931.4906
SpineMid,0.09103855,0.3253105,2.601496,5931.4906
Neck,0.1071452,0.6318901,2.563594,5931.4906
Head,0.1666591,0.7688411,2.542601,5931.4906
ShoulderLeft,-0.05590121,0.530053,2.567146,5931.4906
ElbowLeft,-0.1739449,0.3084168,2.628111,5931.4906
WristLeft,-0.2910293,0.1268767,2.513862,5931.4906
HandLeft,-0.3613024,0.0620441,2.461854,5931.4906
ShoulderRight,0.2882153,0.5061676,2.606391,5931.4906
ElbowRight,0.3229699,0.2484874,2.67256,5931.4906
WristRight,0.4940802,0.05076335,2.588438,5931.4906
HandRight,0.5421881,0.009320153,2.588005,5931.4906
HipLeft,-0.006908666,0.01443031,2.581318,5931.4906
KneeLeft,-0.07910447,-0.4293286,2.549803,5931.4906
AnkleLeft,-0.1010147,-0.7988326,2.555115,5931.4906
FootLeft,-0.1380227,-0.8683074,2.468039,5931.4906
HipRight,0.1532072,0.00179618,2.59443,5931.4906
KneeRight,0.160616,-0.42507,2.595232,5931.4906
AnkleRight,0.1225978,-0.7993481,2.597131,5931.4906
FootRight,0.1500143,-0.8675315,2.518154,5931.4906
SpineShoulder,0.1032414,0.5567162,2.575488,5931.4906
HandTipLeft,-0.4263255,0.008766367,2.425901,5931.4906
ThumbLeft,-0.3443237,0.08286145,2.407235,5931.4906
HandTipRight,0.6019644,-0.03751698,2.589035,5931.4906
ThumbRight,0.5457266,0.04295407,2.536773,5931.4906
SpineBase,0.07350865,0.009166278,2.622113,5966.5095
SpineMid,0.09015422,0.3261538,2.598802,5966.5095
Neck,0.1061649,0.6326978,2.561968,5966.5095
Head,0.1648165,0.7694331,2.540578,5966.5095
ShoulderLeft,-0.05597907,0.5311359,2.565249,5966.5095
ElbowLeft,-0.1842361,0.3189764,2.620369,5966.5095
WristLeft,-0.3350498,0.1496506,2.481193,5966.5095
HandLeft,-0.4171056,0.09514447,2.432435,5966.5095
ShoulderRight,0.2877235,0.5069175,2.605049,5966.5095
ElbowRight,0.3333918,0.2557661,2.669874,5966.5095
WristRight,0.5090978,0.1023247,2.592308,5966.5095
HandRight,0.58193,0.04932148,2.583168,5966.5095
HipLeft,-0.007687518,0.01506183,2.578165,5966.5095
KneeLeft,-0.07992277,-0.4284042,2.550991,5966.5095
AnkleLeft,-0.1017269,-0.7980942,2.55506,5966.5095
FootLeft,-0.1380593,-0.8682718,2.468189,5966.5095
HipRight,0.1525855,0.002980734,2.590343,5966.5095
KneeRight,0.1603653,-0.4227808,2.591927,5966.5095
AnkleRight,0.122564,-0.798675,2.596716,5966.5095
FootRight,0.1496558,-0.8671358,2.518299,5966.5095
SpineShoulder,0.1022763,0.5575326,2.573584,5966.5095
HandTipLeft,-0.481376,0.05445473,2.411401,5966.5095
ThumbLeft,-0.3948426,0.126472,2.389,5966.5095
HandTipRight,0.6518489,0.007961582,2.591946,5966.5095
ThumbRight,0.5891126,0.08790343,2.535,5966.5095
SpineBase,0.07246051,0.00954326,2.617348,5997.6236
SpineMid,0.08845666,0.326943,2.595405,5997.6236
Neck,0.1038099,0.6339202,2.559789,5997.6236
Head,0.1628126,0.7701501,2.539814,5997.6236
ShoulderLeft,-0.05724434,0.5322143,2.56373,5997.6236
ElbowLeft,-0.1911647,0.3129054,2.619133,5997.6236
WristLeft,-0.3903237,0.1717375,2.440078,5997.6236
HandLeft,-0.4578319,0.1469795,2.406146,5997.6236
ShoulderRight,0.2866573,0.507619,2.603401,5997.6236
ElbowRight,0.3459548,0.2712498,2.665713,5997.6236
WristRight,0.5474944,0.1305727,2.58067,5997.6236
HandRight,0.6218516,0.09352668,2.576098,5997.6236
HipLeft,-0.008853509,0.01531888,2.573048,5997.6236
KneeLeft,-0.08083645,-0.4286202,2.551821,5997.6236
AnkleLeft,-0.1019209,-0.7981583,2.55504,5997.6236
FootLeft,-0.1388567,-0.8690513,2.468918,5997.6236
HipRight,0.1516724,0.003463555,2.585952,5997.6236
KneeRight,0.1595744,-0.4228769,2.589673,5997.6236
AnkleRight,0.1227781,-0.798123,2.596078,5997.6236
FootRight,0.1495138,-0.8671408,2.51785,5997.6236
SpineShoulder,0.1001009,0.558636,2.571105,5997.6236
HandTipLeft,-0.5280068,0.1147333,2.384426,5997.6236
ThumbLeft,-0.4352028,0.1820465,2.361,5997.6236
HandTipRight,0.6947839,0.06091343,2.58835,5997.6236
ThumbRight,0.6253843,0.1340557,2.5254,5997.6236
SpineBase,0.07100422,0.00989728,2.612549,6030.6771
SpineMid,0.08640142,0.3275424,2.592378,6030.6771
Neck,0.1011117,0.6347982,2.55823,6030.6771
Head,0.1593264,0.7713772,2.53876,6030.6771
ShoulderLeft,-0.05917802,0.5330417,2.561949,6030.6771
ElbowLeft,-0.1885587,0.3254411,2.621657,6030.6771
WristLeft,-0.4229024,0.2194678,2.415896,6030.6771
HandLeft,-0.4984573,0.2035528,2.380659,6030.6771
ShoulderRight,0.2852035,0.5093369,2.601334,6030.6771
ElbowRight,0.3683827,0.2821924,2.65688,6030.6771
WristRight,0.5666077,0.1736404,2.571187,6030.6771
HandRight,0.6510562,0.1448807,2.566628,6030.6771
HipLeft,-0.01006419,0.01536396,2.569311,6030.6771
KneeLeft,-0.08112966,-0.428721,2.552039,6030.6771
AnkleLeft,-0.1021281,-0.7981552,2.55464,6030.6771
FootLeft,-0.1391139,-0.8702639,2.471049,6030.6771
HipRight,0.1499901,0.004195205,2.579965,6030.6771
KneeRight,0.1579835,-0.4233059,2.586465,6030.6771
AnkleRight,0.1230325,-0.7976765,2.595199,6030.6771
FootRight,0.1495677,-0.8672749,2.517835,6030.6771
SpineShoulder,0.0975901,0.5594332,2.569193,6030.6771
HandTipLeft,-0.5707318,0.1798145,2.359071,6030.6771
ThumbLeft,-0.473874,0.246468,2.339154,6030.6771
HandTipRight,0.7299539,0.1156745,2.584629,6030.6771
ThumbRight,0.6560272,0.1881107,2.523,6030.6771
SpineBase,0.06918135,0.01009901,2.608211,6064.7242
SpineMid,0.08398863,0.327911,2.589307,6064.7242
Neck,0.09810891,0.6353542,2.556506,6064.7242
Head,0.1555785,0.7725142,2.537702,6064.7242
ShoulderLeft,-0.06130958,0.5341811,2.561523,6064.7242
ElbowLeft,-0.2379883,0.3265994,2.592721,6064.7242
WristLeft,-0.4286819,0.2724725,2.415512,6064.7242
HandLeft,-0.5203705,0.2664199,2.362396,6064.7242
ShoulderRight,0.2815219,0.512086,2.597026,6064.7242
ElbowRight,0.3767875,0.2927649,2.650806,6064.7242
WristRight,0.6017581,0.2148784,2.56277,6064.7242
HandRight,0.6793808,0.2007024,2.557039,6064.7242
